#{"t_start": 1656388224.6943002, "env_id": "IK-Gazebo-v0"}
r,l,t
14.469466,1,3.48389
11.835668,1,3.539029
10.960285,1,3.594543
8.621113,1,3.668454
4.092999,1,3.705945
9.805424,1,3.776638
7.257919,1,3.814945
7.326996,1,3.850025
6.092513,1,3.888783
16.783494,1,3.92648
7.767381,1,4.005153
9.469961,1,4.076157
13.930248,1,4.143435
8.017043,1,4.209463
12.586115,1,4.249809
15.270766,1,4.31071
8.359709,1,4.391102
9.740299,1,4.426692
5.534672,1,4.461396
4.47517,1,4.494094
12.265928,1,4.563174
8.649643,1,4.59811
7.954636,1,4.655332
17.468175,1,4.714694
7.542545,1,4.761901
9.481417,1,4.855482
7.612446,1,4.90167
13.239313,1,4.961606
7.103729,1,4.997706
13.782302,1,5.076294
9.475921,1,5.127312
9.066721,1,5.161223
12.215029,1,5.229685
7.933554,1,5.277954
19.587979,1,5.314012
6.962967,1,5.346647
8.828288,1,5.378933
8.277931,1,5.411893
6.895861,1,5.445153
7.976234,1,5.541984
6.811749,1,5.579847
5.403894,1,5.645188
6.213067,1,5.682045
4.349814,1,5.737647
13.964921,1,5.795749
11.858058,1,5.84306
9.270537,1,5.885367
13.156569,1,5.958928
9.609614,1,6.01499
5.465377,1,6.052373
14.700252,1,6.111943
6.309067,1,6.168381
3.729309,1,6.205482
14.078309,1,6.262376
10.678208,1,6.299308
15.39545,1,6.335145
10.738258,1,6.418477
5.133717,1,6.46653
7.280473,1,6.503154
9.973189,1,6.576211
8.112412,1,6.627373
12.271033,1,6.697766
6.089666,1,6.743305
7.392951,1,6.788518
9.850834,1,6.826865
12.241877,1,6.863638
8.602528,1,6.910437
23.775028,1,6.973787
17.102932,1,7.011317
5.596813,1,7.055734
11.138992,1,7.119667
11.345642,1,7.211725
23.947916,1,7.312416
5.167902,1,7.380432
4.442746,1,7.423274
15.36703,1,7.482304
9.016302,1,7.526368
8.916619,1,7.563791
18.62011,1,7.611783
6.925337,1,7.689406
10.177961,1,7.749183
6.607765,1,7.787425
7.97594,1,7.846745
12.979133,1,7.907751
6.876103,1,7.952856
14.405167,1,8.010909
11.133255,1,8.049821
10.340136,1,8.087896
12.035387,1,8.150535
6.381161,1,8.187496
6.12957,1,8.224024
9.627735,1,8.281141
25.223718,1,8.338658
16.490664,1,8.374813
8.911554,1,8.452929
10.041073,1,8.489885
6.355594,1,8.52713
7.076546,1,8.569116
5.628791,1,8.603633
7.693901,1,8.673646
8.350813,1,8.707843
